lang	file	word	wstart	wend	phone	int	pstart	pend
abk	abk-002-000	ad͡ʒʃʲ	0.13	0.61	a	2	0.13	0.33
abk	abk-002-000	ad͡ʒʃʲ	0.13	0.61	d͡ʒ	3	0.33	0.45
abk	abk-002-000	ad͡ʒʃʲ	0.13	0.61	ʃʲ	4	0.45	0.61
abk	abk-002-001	ad͡ʒmɜ	0.13	0.77	a	2	0.13	0.32
abk	abk-002-001	ad͡ʒmɜ	0.13	0.77	d͡ʒ	3	0.32	0.47
abk	abk-002-001	ad͡ʒmɜ	0.13	0.77	m	4	0.47	0.61
abk	abk-002-001	ad͡ʒmɜ	0.13	0.77	ɜ	5	0.61	0.77
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	a	2	0.88	1
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	d͡ʒ	3	1	1.11
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	ɘ	4	1.11	1.17
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	m	5	1.17	1.27
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	ʃ	6	1.27	1.46
abk	abk-002-006	ad͡ʒɘmʃɘ	0.88	1.68	ɘ	7	1.46	1.68
abk	abk-002-009	at͡ʃʰɜrä	0.12	0.79	a	2	0.12	0.22
abk	abk-002-009	at͡ʃʰɜrä	0.12	0.79	t͡ʃʰ	3	0.22	0.41
abk	abk-002-009	at͡ʃʰɜrä	0.12	0.79	ɜ	4	0.41	0.51
abk	abk-002-009	at͡ʃʰɜrä	0.12	0.79	r	5	0.51	0.55
abk	abk-002-009	at͡ʃʰɜrä	0.12	0.79	ä	6	0.55	0.79
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	a	2	0.15	0.3
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	t͡ʃ	3	0.3	0.47
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	ə̆	4	0.47	0.53
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	pʰ	5	0.53	0.65
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	ɜ̆	6	0.65	0.74
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	r	7	0.74	0.78
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	0.15	1.02	ʌ̈	8	0.78	1.02
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	a	2	0.12	0.29
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	t	3	0.29	0.4
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	t͡ʃ	4	0.4	0.43
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	ʃʰ	5	0.43	0.61
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	ɜ	6	0.61	0.71
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	r	7	0.71	0.74
abk	abk-002-011	att͡ʃʃʰɜrɜ	0.12	0.96	ɜ	8	0.74	0.96
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	a	2	0.14	0.26
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	kʼ	3	0.26	0.38
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	a	4	0.38	0.54
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	ʒʲ	5	0.54	0.58
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	ə	6	0.58	0.75
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	r	7	0.75	0.79
abk	abk-002-023	akʼaʒʲərɜ	0.14	0.99	ɜ	8	0.79	0.99
abk	abk-002-024	ăbʒʲɨ	0.14	0.58	ă	2	0.14	0.22
abk	abk-002-024	ăbʒʲɨ	0.14	0.58	b	3	0.22	0.32
abk	abk-002-024	ăbʒʲɨ	0.14	0.58	ʒʲ	4	0.32	0.45
abk	abk-002-024	ăbʒʲɨ	0.14	0.58	ɨ	5	0.45	0.58
abk	abk-002-026	aʃæ̈	0.15	0.69	a	2	0.15	0.25
abk	abk-002-026	aʃæ̈	0.15	0.69	ʃ	3	0.25	0.46
abk	abk-002-026	aʃæ̈	0.15	0.69	æ̈	4	0.46	0.69
abk	abk-002-027	ajəʃʲɛ̈	0.13	0.85	a	2	0.13	0.29
